timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2025,Mid,coalPlant,coal,emission,142.0593700797778
2025,North,coalPlant,coal,emission,5.6113958850453205
2025,South,coalPlant,coal,emission,2.289752463986431
2025,Mid,gasTurbine,gas,emission,0.0
2025,North,gasTurbine,gas,emission,0.0
2025,South,gasTurbine,gas,emission,0.0
2025,Mid,lignitePlant,lignite,emission,0.0
2025,North,lignitePlant,lignite,emission,0.0
2025,South,lignitePlant,lignite,emission,0.03948157119025158
2025,Mid,biomassPlant,biomass,emission,0.0
2025,North,biomassPlant,biomass,emission,0.0
2025,South,biomassPlant,biomass,emission,0.0
2025,Mid,pumpedHydro,electricity,emission,0.0
2025,North,pumpedHydro,electricity,emission,0.0
2025,South,pumpedHydro,electricity,emission,0.0
2025,Mid,hydrogenStorage,electricity,emission,0.0
2025,North,hydrogenStorage,electricity,emission,0.0
2025,South,hydrogenStorage,electricity,emission,0.0
2025,Mid,none,electricity,emission,0.0
2025,North,none,electricity,emission,0.0
2025,South,none,electricity,emission,0.0
2025,Mid,none,gas,trdBuy,0.0
2025,North,none,gas,trdBuy,0.0
2025,South,none,gas,trdBuy,0.0
2025,Mid,none,coal,trdBuy,473.5312335992604
2025,North,none,coal,trdBuy,18.704652950151203
2025,South,none,coal,trdBuy,7.632508213287344
2025,Mid,none,lignite,trdBuy,0.0
2025,North,none,lignite,trdBuy,0.0
2025,South,none,lignite,trdBuy,0.098703927975629
2025,Mid,none,biomass,trdBuy,0.0
2025,North,none,biomass,trdBuy,0.0
2025,South,none,biomass,trdBuy,0.0
2025,Mid,none,electricity,export,-9.348885128819543
2025,North,none,electricity,export,-0.0
2025,South,none,electricity,export,-8.370430210621326
2025,North,none,electricity,import,0.0
2025,South,none,electricity,import,8.41399661593779
2025,Mid,none,electricity,import,7.5333871895595905
2025,South,pumpedHydro,none,flhStIn,804.5874985899317
2025,North,hydrogenStorage,none,flhStIn,427.9188851049903
2025,South,hydrogenStorage,none,flhStIn,1069.1948865769075
2025,North,wind,none,flhConv,3600.005599999996
2025,South,wind,none,flhConv,2999.9925000000094
2025,Mid,coalPlant,none,flhConv,6124.057399520089
2025,North,coalPlant,none,flhConv,2634.2829553802885
2025,South,coalPlant,none,flhConv,5414.9699722482055
2025,South,solar,none,flhConv,1898.3214000000014
2025,Mid,hydro,none,flhConv,3899.994099999977
2025,North,hydro,none,flhConv,3999.9952000000008
2025,South,lignitePlant,none,flhConv,14.625755402985018
2025,South,pumpedHydro,none,flhStOut,710.9335137540627
2025,North,hydrogenStorage,none,flhStOut,175.27557533900296
2025,South,hydrogenStorage,none,flhStOut,437.9422255418959
2025,South,pumpedHydro,electricity,cycStIn,387.0287233758946
2025,North,hydrogenStorage,electricity,cycStIn,226.9339359950646
2025,South,hydrogenStorage,electricity,cycStIn,254.72829260492614
2025,South,pumpedHydro,electricity,cycStOut,341.97857997494
2025,North,hydrogenStorage,electricity,cycStOut,92.9521401835779
2025,South,hydrogenStorage,electricity,cycStOut,104.33670865097645
